Home Alone,(1990),PG,103 min,$285.76M,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard
Ghost,(1990),PG-13,127 min,$217.63M,Jerry Zucker,Patrick Swayze,Demi Moore,Whoopi Goldberg,Tony Goldwyn
Dances with Wolves,(1990),PG-13,181 min,$184.21M,Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant
Pretty Woman,(1990),R,119 min,$178.41M,Garry Marshall,Richard Gere,Julia Roberts,Jason Alexander,Laura San Giacomo
Teenage Mutant Ninja Turtles,(1990),PG,93 min,$135.27M,Steve Barron,Judith Hoag,Elias Koteas,Josh Pais,David Forman
The Hunt for Red October,(1990),PG,135 min,$122.01M,John McTiernan,Sean Connery,Alec Baldwin,Scott Glenn,Sam Neill
Total Recall,(1990),R,113 min,$119.41M,Paul Verhoeven,Arnold Schwarzenegger,Sharon Stone,Michael Ironside,Rachel Ticotin
Die Hard 2,(1990),R,124 min,$117.54M,Renny Harlin,Bruce Willis,William Atherton,Bonnie Bedelia,Reginald VelJohnson
Dick Tracy,(1990),PG,105 min,$103.74M,Warren Beatty,Warren Beatty,Madonna,Al Pacino,Charlie Korsmo
Kindergarten Cop,(1990),PG-13,111 min,$91.46M,Ivan Reitman,Arnold Schwarzenegger,Penelope Ann Miller,Pamela Reed,Linda Hunt
Back to the Future Part III,(1990),PG,118 min,$87.67M,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Mary Steenburgen,Thomas F. Wilson
Presumed Innocent,(1990),R,127 min,$86.30M,Alan J. Pakula,Harrison Ford,Raul Julia,Greta Scacchi,Brian Dennehy
Days of Thunder,(1990),PG-13,107 min,$82.67M,Tony Scott,Tom Cruise,Nicole Kidman,Robert Duvall,Randy Quaid
Another 48 Hrs.,(1990),R,93 min,$80.82M,Walter Hill,Eddie Murphy,Nick Nolte,Brion James,Kevin Tighe
3 Men and a Little Lady,(1990),PG,104 min,$71.61M,Emile Ardolino,Tom Selleck,Steve Guttenberg,Ted Danson,Nancy Travis
Bird on a Wire,(1990),PG-13,110 min,$70.98M,John Badham,Mel Gibson,Goldie Hawn,David Carradine,Bill Duke
The Godfather: Part III,(1990),R,162 min,$66.68M,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,Talia Shire
Flatliners,(1990),R,115 min,$61.49M,Joel Schumacher,Kiefer Sutherland,Kevin Bacon,Julia Roberts,William Baldwin
Misery,(1990),R,107 min,$61.28M,Rob Reiner,James Caan,Kathy Bates,Richard Farnsworth,Frances Sternhagen
